player_id,season,player_name,position,weight,height,team_abbrev
8473419,2021,Brad Marchand,L,181,"5' 9""",BOS
8473419,2021,Brad Marchand,L,181,"5' 9""",BOS
8473419,2021,Brad Marchand,L,181,"5' 9""",BOS
8473419,2021,Brad Marchand,L,181,"5' 9""",BOS
8476345,2021,Gregory Hofmann,C,194,"6' 0""",CBJ
8476345,2021,Gregory Hofmann,C,194,"6' 0""",CBJ
8476345,2021,Gregory Hofmann,C,194,"6' 0""",CBJ
8476345,2021,Gregory Hofmann,C,194,"6' 0""",CBJ
8476345,2021,Gregory Hofmann,C,194,"6' 0""",CBJ
8477501,2021,Valeri Nichushkin,R,210,"6' 4""",COL
8477501,2021,Valeri Nichushkin,R,210,"6' 4""",COL
8477501,2021,Valeri Nichushkin,R,210,"6' 4""",COL
8477501,2021,Valeri Nichushkin,R,210,"6' 4""",COL
8477501,2021,Valeri Nichushkin,R,210,"6' 4""",COL
8477504,2021,Josh Morrissey,D,195,"6' 0""",WPG
8477504,2021,Josh Morrissey,D,195,"6' 0""",WPG
8477504,2021,Josh Morrissey,D,195,"6' 0""",WPG
8477504,2021,Josh Morrissey,D,195,"6' 0""",WPG
8477504,2021,Josh Morrissey,D,195,"6' 0""",WPG
8478870,2021,Rudolfs Balcers,L,175,"5' 11""",SJS
8478870,2021,Rudolfs Balcers,L,175,"5' 11""",SJS
8478870,2021,Rudolfs Balcers,L,175,"5' 11""",SJS
8478870,2021,Rudolfs Balcers,L,175,"5' 11""",SJS
8478870,2021,Rudolfs Balcers,L,175,"5' 11""",SJS
8477365,2021,Connor Clifton,D,175,"5' 11""",BOS
8477365,2021,Connor Clifton,D,175,"5' 11""",BOS
8477365,2021,Connor Clifton,D,175,"5' 11""",BOS
8477365,2021,Connor Clifton,D,175,"5' 11""",BOS
8477365,2021,Connor Clifton,D,175,"5' 11""",BOS
8477429,2021,Andrew Copp,C,206,"6' 1""",NYR
8477429,2021,Andrew Copp,C,206,"6' 1""",NYR
8477429,2021,Andrew Copp,C,206,"6' 1""",NYR
8477429,2021,Andrew Copp,C,206,"6' 1""",NYR
8477429,2021,Andrew Copp,C,206,"6' 1""",NYR
8481061,2021,Jasper Weatherby,C,202,"6' 4""",SJS
8481061,2021,Jasper Weatherby,C,202,"6' 4""",SJS
8481061,2021,Jasper Weatherby,C,202,"6' 4""",SJS
8481061,2021,Jasper Weatherby,C,202,"6' 4""",SJS
8481061,2021,Jasper Weatherby,C,202,"6' 4""",SJS
8482072,2021,Jack Ahcan,D,178,"5' 8""",BOS
8482072,2021,Jack Ahcan,D,178,"5' 8""",BOS
8482072,2021,Jack Ahcan,D,178,"5' 8""",BOS
8482072,2021,Jack Ahcan,D,178,"5' 8""",BOS
8482072,2021,Jack Ahcan,D,178,"5' 8""",BOS
8481606,2021,Jordan Spence,D,180,"5' 10""",LAK
8481606,2021,Jordan Spence,D,180,"5' 10""",LAK
8481606,2021,Jordan Spence,D,180,"5' 10""",LAK
8481606,2021,Jordan Spence,D,180,"5' 10""",LAK
8481606,2021,Jordan Spence,D,180,"5' 10""",LAK
8480807,2021,Mattias Samuelsson,D,226,"6' 4""",BUF
8480807,2021,Mattias Samuelsson,D,226,"6' 4""",BUF
8480807,2021,Mattias Samuelsson,D,226,"6' 4""",BUF
8480807,2021,Mattias Samuelsson,D,226,"6' 4""",BUF
8480807,2021,Mattias Samuelsson,D,226,"6' 4""",BUF
8474584,2021,Michael Del Zotto,D,201,"6' 0""",OTT
8474584,2021,Michael Del Zotto,D,201,"6' 0""",OTT
8474584,2021,Michael Del Zotto,D,201,"6' 0""",OTT
8474584,2021,Michael Del Zotto,D,201,"6' 0""",OTT
8474584,2021,Michael Del Zotto,D,201,"6' 0""",OTT
8478109,2021,Victor Olofsson,L,181,"5' 11""",BUF
8478109,2021,Victor Olofsson,L,181,"5' 11""",BUF
8478109,2021,Victor Olofsson,L,181,"5' 11""",BUF
8478109,2021,Victor Olofsson,L,181,"5' 11""",BUF
8478109,2021,Victor Olofsson,L,181,"5' 11""",BUF
8481550,2021,Adam Beckman,L,182,"6' 2""",MIN
8481550,2021,Adam Beckman,L,182,"6' 2""",MIN
8481550,2021,Adam Beckman,L,182,"6' 2""",MIN
8481550,2021,Adam Beckman,L,182,"6' 2""",MIN
8481550,2021,Adam Beckman,L,182,"6' 2""",MIN
8478485,2021,Zach Senyshyn,R,192,"6' 1""",OTT
8478485,2021,Zach Senyshyn,R,192,"6' 1""",OTT
8478485,2021,Zach Senyshyn,R,192,"6' 1""",OTT
8478485,2021,Zach Senyshyn,R,192,"6' 1""",OTT
8478485,2021,Zach Senyshyn,R,192,"6' 1""",OTT
8476466,2021,Sven Baertschi,L,190,"5' 11""",VGK
8476466,2021,Sven Baertschi,L,190,"5' 11""",VGK
8476466,2021,Sven Baertschi,L,190,"5' 11""",VGK
8476466,2021,Sven Baertschi,L,190,"5' 11""",VGK
8476466,2021,Sven Baertschi,L,190,"5' 11""",VGK
8477986,2021,Brandon Montour,D,193,"6' 0""",FLA
8477986,2021,Brandon Montour,D,193,"6' 0""",FLA
8477986,2021,Brandon Montour,D,193,"6' 0""",FLA
8477986,2021,Brandon Montour,D,193,"6' 0""",FLA
8477986,2021,Brandon Montour,D,193,"6' 0""",FLA
8479026,2021,Philippe Myers,D,210,"6' 5""",NSH
8479026,2021,Philippe Myers,D,210,"6' 5""",NSH
8479026,2021,Philippe Myers,D,210,"6' 5""",NSH
8479026,2021,Philippe Myers,D,210,"6' 5""",NSH
8479026,2021,Philippe Myers,D,210,"6' 5""",NSH
8482667,2021,William Eklund,C,176,"5' 10""",SJS
8482667,2021,William Eklund,C,176,"5' 10""",SJS
8482667,2021,William Eklund,C,176,"5' 10""",SJS
8482667,2021,William Eklund,C,176,"5' 10""",SJS
8482667,2021,William Eklund,C,176,"5' 10""",SJS
8477460,2021,Laurent Dauphin,C,180,"6' 1""",MTL
8477460,2021,Laurent Dauphin,C,180,"6' 1""",MTL
8477460,2021,Laurent Dauphin,C,180,"6' 1""",MTL
8477460,2021,Laurent Dauphin,C,180,"6' 1""",MTL
8477460,2021,Laurent Dauphin,C,180,"6' 1""",MTL
8480160,2021,Radim Simek,D,200,"5' 11""",SJS
8480160,2021,Radim Simek,D,200,"5' 11""",SJS
8480160,2021,Radim Simek,D,200,"5' 11""",SJS
8480160,2021,Radim Simek,D,200,"5' 11""",SJS
8480160,2021,Radim Simek,D,200,"5' 11""",SJS
8476419,2021,Jean-Gabriel Pageau,C,184,"5' 10""",NYI
8476419,2021,Jean-Gabriel Pageau,C,184,"5' 10""",NYI
8476419,2021,Jean-Gabriel Pageau,C,184,"5' 10""",NYI
8476419,2021,Jean-Gabriel Pageau,C,184,"5' 10""",NYI
8476419,2021,Jean-Gabriel Pageau,C,184,"5' 10""",NYI
8475798,2021,Mikael Granlund,C,185,"5' 10""",NSH
8475798,2021,Mikael Granlund,C,185,"5' 10""",NSH
8475798,2021,Mikael Granlund,C,185,"5' 10""",NSH
8475798,2021,Mikael Granlund,C,185,"5' 10""",NSH
8475798,2021,Mikael Granlund,C,185,"5' 10""",NSH
8480220,2021,Noah Cates,L,165,"6' 1""",PHI
8480220,2021,Noah Cates,L,165,"6' 1""",PHI
8480220,2021,Noah Cates,L,165,"6' 1""",PHI
8480220,2021,Noah Cates,L,165,"6' 1""",PHI
8480220,2021,Noah Cates,L,165,"6' 1""",PHI
8479410,2021,Mikhail Sergachev,D,215,"6' 3""",TBL
8479410,2021,Mikhail Sergachev,D,215,"6' 3""",TBL
8479410,2021,Mikhail Sergachev,D,215,"6' 3""",TBL
8479410,2021,Mikhail Sergachev,D,215,"6' 3""",TBL
8479410,2021,Mikhail Sergachev,D,215,"6' 3""",TBL
8476449,2021,Scott Harrington,D,207,"6' 2""",CBJ
8476449,2021,Scott Harrington,D,207,"6' 2""",CBJ
8476449,2021,Scott Harrington,D,207,"6' 2""",CBJ
8476449,2021,Scott Harrington,D,207,"6' 2""",CBJ
8476449,2021,Scott Harrington,D,207,"6' 2""",CBJ
8479980,2021,Nicolas Hague,D,215,"6' 6""",VGK
8479980,2021,Nicolas Hague,D,215,"6' 6""",VGK
8479980,2021,Nicolas Hague,D,215,"6' 6""",VGK
8479980,2021,Nicolas Hague,D,215,"6' 6""",VGK
