player_id,season,games_played,penality_minutes,ice_time,game_score,shifts
8480813,2021,66,22.0,52329.0,6.51,1107.0
8471686,2021,71,28.0,74225.0,10.85,1589.0
8482705,2021,79,37.0,64941.0,26.9,1475.0
8478439,2021,79,47.0,83489.0,54.95,1813.0
8476850,2021,37,2.0,31274.0,5.0,721.0
8480853,2021,1,0.0,711.0,-0.03,17.0
8479520,2021,80,102.0,49047.0,16.2,1156.0
8476902,2021,76,12.0,100526.0,24.04,2021.0
8479383,2021,59,19.0,35118.0,7.35,865.0
8479578,2021,36,26.0,36450.0,4.48,848.0
8475791,2021,81,42.0,79761.0,71.39,1572.0
8479402,2021,67,26.0,82684.0,20.5,1621.0
8480185,2021,78,12.0,62887.0,33.9,1510.0
8476461,2021,29,14.0,35475.0,22.61,739.0
8477220,2021,77,10.0,93367.0,33.88,1909.0
8473453,2021,80,12.0,61591.0,20.62,1502.0
8477149,2021,7,11.0,3190.0,0.16,90.0
8480326,2021,11,0.0,6798.0,3.71,161.0
8479465,2021,18,4.0,15807.0,5.05,354.0
8479372,2021,38,12.0,32058.0,2.6,703.0
8481655,2021,3,0.0,2544.0,-0.18,53.0
8477942,2021,82,42.0,86824.0,88.38,1547.0
8479976,2021,9,10.0,8481.0,2.38,195.0
8479718,2021,16,4.0,10562.0,4.37,240.0
8480060,2021,35,10.0,23491.0,2.46,548.0
8480823,2021,1,2.0,635.0,-0.25,16.0
8475714,2021,66,6.0,63509.0,29.04,1472.0
8471669,2021,71,14.0,75756.0,49.74,1569.0
8481542,2021,82,34.0,113384.0,46.12,2112.0
8474568,2021,66,61.0,68151.0,22.35,1633.0
8474679,2021,82,26.0,87776.0,38.03,1855.0
8479346,2021,79,20.0,60857.0,42.72,1507.0
8475790,2021,78,68.0,84892.0,42.07,2035.0
8477943,2021,23,6.0,11554.0,3.39,246.0
8481093,2021,4,0.0,3141.0,0.14,79.0
8477355,2021,37,0.0,36593.0,7.73,762.0
8480074,2021,36,12.0,31552.0,14.9,695.0
8477343,2021,2,7.0,1493.0,-0.05,33.0
8480849,2021,60,20.0,58025.0,19.93,1388.0
8476918,2021,68,12.0,58850.0,16.75,1399.0
8476924,2021,6,2.0,5051.0,3.23,99.0
8479458,2021,62,28.0,70643.0,4.63,1520.0
8475188,2021,69,42.0,81558.0,27.13,1637.0
8477950,2021,64,36.0,76065.0,61.38,1458.0
8479366,2021,39,8.0,23844.0,6.69,553.0
8476921,2021,59,22.0,39651.0,26.12,918.0
8470613,2021,82,42.0,128642.0,41.61,2441.0
8479324,2021,78,48.0,94070.0,18.02,2061.0
8477478,2021,63,24.0,43938.0,33.25,1080.0
8475193,2021,76,22.0,67635.0,34.03,1613.0
8471260,2021,6,4.0,4129.0,0.81,118.0
8477952,2021,56,35.0,58227.0,26.86,1067.0
8481552,2021,1,0.0,719.0,-0.3,19.0
8478467,2021,50,39.0,50627.0,-5.15,1214.0
8477205,2021,38,16.0,33569.0,1.45,722.0
8477527,2021,32,34.0,19721.0,1.01,460.0
8476469,2021,60,14.0,49405.0,16.06,1152.0
8479546,2021,20,6.0,13288.0,7.08,326.0
8476389,2021,81,68.0,86867.0,62.95,1727.0
8479339,2021,56,24.0,63267.0,44.13,1199.0
8479619,2021,21,14.0,15515.0,4.98,355.0
8477573,2021,30,2.0,20776.0,11.23,452.0
8477392,2021,11,0.0,6523.0,-1.36,155.0
8479348,2021,36,20.0,36153.0,2.45,707.0
8480434,2021,64,55.0,75243.0,32.33,1429.0
8475718,2021,69,41.0,83662.0,28.0,1764.0
8478398,2021,79,4.0,103219.0,88.08,1892.0
8476457,2021,82,55.0,109622.0,26.23,2115.0
8480798,2021,67,12.0,51673.0,14.91,1161.0
8480039,2021,78,32.0,75760.0,50.78,1583.0
8475745,2021,82,22.0,85647.0,42.12,1762.0
8477450,2021,62,19.0,48516.0,10.22,1197.0
8475179,2021,80,39.0,87341.0,30.2,1765.0
8477960,2021,78,46.0,86972.0,65.63,1873.0
8476779,2021,50,12.0,45759.0,17.32,1042.0
8476880,2021,78,78.0,86965.0,51.05,1755.0
8482241,2021,17,4.0,10534.0,8.44,260.0
8476988,2021,65,39.0,63715.0,9.77,1491.0
8479420,2021,78,27.0,83676.0,66.89,1739.0
8480796,2021,79,26.0,93155.0,22.75,1937.0
8479514,2021,65,22.0,58355.0,19.74,1177.0
8476853,2021,82,40.0,116791.0,75.98,2242.0
8475820,2021,75,14.0,66767.0,21.24,1484.0
8471303,2021,41,34.0,45418.0,29.2,918.0
8474053,2021,77,18.0,87469.0,51.65,2023.0
8475227,2021,64,47.0,57124.0,21.7,1232.0
8476331,2021,76,28.0,84356.0,21.5,1764.0
8477406,2021,67,21.0,57664.0,22.72,1260.0
8479304,2021,6,2.0,3440.0,1.27,78.0
8478397,2021,82,28.0,111582.0,65.85,2500.0
8478430,2021,73,14.0,79532.0,47.5,1950.0
8477939,2021,81,16.0,88807.0,83.53,1774.0
8482660,2021,9,2.0,6719.0,3.62,136.0
8480001,2021,29,10.0,33614.0,0.77,712.0
8481577,2021,76,10.0,52606.0,34.36,1123.0
8478906,2021,1,0.0,421.0,0.9,12.0
8480049,2021,15,4.0,13368.0,4.45,291.0
8479972,2021,3,5.0,1618.0,0.72,36.0
8478949,2021,1,0.0,488.0,0.2,12.0
8478465,2021,1,0.0,253.0,-0.25,8.0
8478462,2021,78,41.0,76092.0,47.99,1694.0
8474150,2021,82,30.0,84222.0,60.93,1898.0
8477482,2021,80,50.0,68635.0,14.63,1552.0
8478831,2021,3,2.0,1355.0,0.09,32.0
8477419,2021,25,37.0,10435.0,-1.5,284.0
